guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
ab14bd90-a4d1-339b-87fd-11d44ad237e4;AAPL;Apple CEO Tim Cook Teases 'Something in the Air' This Week;Apple CEO Tim Cook teased on Monday an upcoming announcement with a video on X widely expected to be a new MacBook Air.;Mon, 03 Mar 2025 21:54:30 +0000;AAPL_2025-03-03;-0.296;-0.296
4be3c9cd-f36d-3eea-9c4f-26644f2ca405;AAPL;Tech Giants Have Pledged Over $1 Trillion in US Investment, So Far;(Bloomberg) -- Taiwan Semiconductor Manufacturing Co. became the latest tech company to pledge billions of dollars in US investments that President Donald Trump will almost certainly take credit for.Most Read from BloombergCuts to Section 8 Housing Assistance Loom Amid HUD UncertaintyHow Upzoning in Cambridge Broke the YIMBY MoldRemembering the Landscape Architect Who Embraced the CityNYC Office Buildings See Resurgence as Investors Pile Into BondsHong Kong Joins Global Stadium Race With New $4;Mon, 03 Mar 2025 20:07:11 +0000;AAPL_2025-03-03;-0.0661;0.0
77302854-55f4-302f-87d7-4c5fbde55ba1;AAPL;Buy Taiwan Semiconductor (TSM) Stock for Expansion Plans in the U.S.?;Taiwan Semiconductor (TSM) is making headlines on Monday, with the chip giant set to invest $100 billion for manufacturing plants in the United States.;Mon, 03 Mar 2025 20:04:00 +0000;AAPL_2025-03-03;0.4215;0.0
4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b;AAPL;"Magnificent Seven Stocks: Nvidia Dives; Amazon, Tesla Sell Off";Nvidia dived Monday after Friday's rebound, while Tesla reversed sharply lower. Meta is trying to find support at a key level.;Mon, 03 Mar 2025 19:59:42 +0000;AAPL_2025-03-03;0.128;0.6808
ce2ffe06-f882-3e0d-8b97-fa77d137e8bb;AAPL;Warren Buffett Stocks: What's Inside Berkshire Hathaway's Portfolio?;You must keep up on Warren Buffett stocks: The Berkshire Hathaway chief sticks to a winning investing formula, but he does not sit still.;Mon, 03 Mar 2025 17:30:15 +0000;AAPL_2025-03-03;0.296;0.0
82d22d64-7d8a-3168-ac44-5c0181abe553;AAPL;Qualcomm Faces Life After Apple. This Is How It Is Striking Back.;The other shoe has finally dropped for  Qualcomm  with the long-awaited launch of  Apple’s  first in-house cellular chip.  While that blows a hole in Qualcomm’s revenue, the chip company is moving quickly to respond.  Apple said last month it would include its own C1 cellular chip—a critical component that connects smartphones to wireless carriers—in its iPhone 16e model.;Mon, 03 Mar 2025 17:06:00 +0000;AAPL_2025-03-03;-0.3182;0.0
a854c918-33e6-3716-86be-ed50c88a70c8;AAPL;Apple's iPhone 16e Struggles as China's Smartphone Market Slumps, Jefferies Warns;Apple's iPhone 16e faces a tough market in China, as smartphone sales drop despite rising discounts and government subsidies;Mon, 03 Mar 2025 16:52:52 +0000;AAPL_2025-03-03;-0.3818;-0.4404
fb6aee10-6caf-37d3-a9d9-ac866ec1b52a;AAPL;Apple's Partnership With Alibaba Could Boost iPhone Sales Growth in China, Wedbush Says;Apple's (AAPL) iPhone sales could see a potential sales growth in the quarter ending June when its a;Mon, 03 Mar 2025 16:43:37 +0000;AAPL_2025-03-03;0.3818;0.6486
ef5ec452-55f3-3a40-acc5-5ae0f87c3d38;AAPL;Warren Buffett's State of the Market;"Berkshire's cash hoard is approaching ""Dr. Evil"" levels.";Mon, 03 Mar 2025 16:29:00 +0000;AAPL_2025-03-03;-0.6597;0.0
c6637514-6be0-3eb8-9bbd-8f5323a22ca3;AAPL;Big Tech Pain Is Mounting as Risk-Wary Traders Dump Winners;(Bloomberg) -- For some time now, there have been plenty of reasons to worry about Big Tech stocks. Stretched valuations after a big run up, heavy spending on artificial intelligence and lofty expectations for future growth. For months, though, none of it seemed to matter.Most Read from BloombergCuts to Section 8 Housing Assistance Loom Amid HUD UncertaintyHow Upzoning in Cambridge Broke the YIMBY MoldRemembering the Landscape Architect Who Embraced the CityNYC Office Buildings See Resurgence as;Mon, 03 Mar 2025 15:32:08 +0000;AAPL_2025-03-03;-0.2263;-0.4215
b880396e-4693-4061-9e22-1221bff220a4;AAPL;Why Tesla stock still has a fan in Cathie Wood;Tesla still has a believer in Cathie Wood.;Mon, 03 Mar 2025 14:25:50 +0000;AAPL_2025-03-03;0.0;0.3182
36cec316-1882-356d-a651-a8802fc11750;AAPL;Warren Buffett Is Still Holding His Apple Stock: Should You?;Warren Buffett has stopped trimming his Apple (NASDAQ: AAPL) position.  The billionaire from Omaha kept his largest position for Berkshire Hathaway unchanged in the fourth quarter after dumping most of his ownership in the first three quarters of 2024.  Buffett is giving the signal to the market that he intends to keep his ownership position in Apple, just at a reduced size, indicating that he is bullish on the stock's future.;Mon, 03 Mar 2025 14:15:00 +0000;AAPL_2025-03-03;-0.2023;0.0
c3fd3cf9-7360-3659-8dd6-b145af870ea0;AAPL;Apple's Partnership With Alibaba Key for iPhone Growth in China, Wedbush Says;Apple's (AAPL) potential partnership with Alibaba Group (BABA) to roll out its artificial intelligen;Mon, 03 Mar 2025 14:07:03 +0000;AAPL_2025-03-03;0.0;0.3818
5926212a-b26b-3993-9279-9f3125215475;AAPL;Apple's $500 billion promise: Been there, done that;A version of this article originally appeared in Quartz’s members-only Weekend Brief newsletter. Quartz members get access to exclusive newsletters and more. Sign up here.;Mon, 03 Mar 2025 14:04:22 +0000;AAPL_2025-03-03;0.128;0.3182
f79c93c0-c42e-44fd-b633-4449ed7b05c3;AAPL;Why more big deals are coming in the music industry;Music catalogs are becoming a hot new investment.;Mon, 03 Mar 2025 13:32:05 +0000;AAPL_2025-03-03;0.0;0.0
6963846c-804f-3a16-8b9e-67e83d750a13;AAPL;Prediction: 3 Stocks That'll Be Worth More Than Apple 5 Years From Now;Apple (NASDAQ: AAPL) is the world's largest company by market capitalization, so it takes a lot for companies to surpass it in terms of valuation.  The number of companies in a position to pass Apple is relatively few, based solely on Apple's sheer $3.6 trillion valuation.;Mon, 03 Mar 2025 11:45:00 +0000;AAPL_2025-03-03;0.0772;0.2263
1ecc2e8e-cbcc-3b3a-abb4-e0fbf7d2c6e2;AAPL;Warren Buffett Has Sold Over 950 Million Shares of Apple and Bank of America. But the Billionaire Has Made a Killing on 1 Stock He Hasn't Touched in 27 Years;2024 turned out to be a bit of an odd year for Warren Buffett and his company Berkshire Hathaway (NYSE: BRK.A) (NYSE: BRK.B).  Berkshire's stock performed well, with class B shares generating a 27% return and beating the broader market's 23% return.  Berkshire hoarded cash, was a net seller of stocks, and sold big parts of two of its largest positions -- Apple (NASDAQ: AAPL) and Bank of America (NYSE: BAC).;Mon, 03 Mar 2025 11:21:00 +0000;AAPL_2025-03-03;-0.25;-0.7579
5a06cd9c-544e-31f1-8f44-4663501cf8ce;AAPL;Our eight-year-old daughter spent £8,500 on the Apple app store;We did not realise our HSBC debit card had been linked to her iPhone and she was sending money to YouTube channels;Mon, 03 Mar 2025 08:30:31 +0000;AAPL_2025-03-03;0.0;0.0
44c180bb-28bd-35f7-b033-730041ae325a;AAPL;Xiaomi Debuts Pricey 15 Ultra Smartphone With Advanced Cameras;(Bloomberg) -- Xiaomi Corp. introduced a new flagship handset priced at €1,499 ($1,560) in a bid to push further into the premium market traditionally dominated by Apple Inc.Most Read from BloombergCuts to Section 8 Housing Assistance Loom Amid HUD UncertaintyHow Upzoning in Cambridge Broke the YIMBY MoldRemembering the Landscape Architect Who Embraced the CityNYC Office Buildings See Resurgence as Investors Pile Into BondsHong Kong Joins Global Stadium Race With New $4 Billion Sports ParkThe Xi;Mon, 03 Mar 2025 03:29:02 +0000;AAPL_2025-03-03;-0.5106;0.25
a2e45b57-964d-43d0-a959-aa0054a7d5b3;AAPL;The dust settles on Nvidia: Morning Brief;The opinions on Nvidia's stock will stay varied in the near term.;Sun, 02 Mar 2025 11:00:36 +0000;AAPL_2025-03-02;0.0;0.0
